marker,cell type 1,cell type 2,cell type 3,cell type 4
CD20,B cell,,,
CD8,T cell,,,
CD4,T cell,,,
CK19,Cancer cell,,,
PCNA,Cancer cell,,,
HER2,Cancer cell,,,
ER,Cancer cell,,,
CD45,B cell,T cell,Macrophage,Proliferating immune cell
pHH3,Cancer cell,,,
CK14,Cancer cell,,,
CD44,Cancer cell,Cancer-associated fibroblast,,
CK5,Cancer cell,,,
Vimentin,Cancer-associated fibroblast,Cancer cell,,
CK7,Cancer cell,,,
PD1,Exhausted T cell,T cell,,
LamAC,Cancer cell,,,
aSMA,Cancer-associated fibroblast,,,
CD68,Macrophage,,,
Ki67,Proliferating immune cell,Cancer cell,,
Ecad,Cancer cell,Cancer-associated fibroblast,,
CK17,Cancer cell,,,
PDPN,Endothelial cell,Cancer cell,,
CD31,Endothelial cell,,,
CD3,T cell,,,